Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
8104	2016_rou_315_1	ROU	2016	CYACAE	rou	rou_315_NB	7715302	3661814	first	first	01/04/2016	NA	10	NA	26/04/2016	NA	10	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
8105	2016_rou_315_2	ROU	2016	CYACAE	rou	rou_315_NB	7715302	3661814	second	second	08/06/2016	NA	7	NA	27/06/2016	NA	7	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
8106	2016_rou_357_1	ROU	2016	CYACAE	rou	rou_357_NB	7715304	7209794	first	first	06/04/2016	NA	9	NA	26/04/2016	NA	9	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA
8107	2016_mur_40_1	MUR	2016	CYACAE	mur	mur_40_NB	7715533	7532769	first	first	30/03/2016	NA	10	NA	21/04/2016	NA	9	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8108	2016_mur_77_1	MUR	2016	CYACAE	mur	mur_77_NB	7715542	7532618	first	first	16/04/2016	NA	6	NA	02/05/2016	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
8109	2016_ari_10_1	MUR	2016	CYACAE	ari	ari_10_NB	7715552	7532563	first	first	11/04/2016	NA	7	NA	30/04/2016	NA	7	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8110	2016_rou_322_1	ROU	2016	CYACAE	rou	rou_322_NB	7715941	6402429	first	first	12/04/2016	NA	11	NA	06/05/2016	NA	10	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8111	2016_rou_150_1	ROU	2016	CYACAE	rou	rou_150_NB	7715945	5994268	first	first	27/03/2016	NA	10	NA	22/04/2016	NA	10	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA
8112	2016_mur_35_1	MUR	2016	CYACAE	mur	mur_35_NB	7716060	7716061	first	first	01/04/2016	NA	9	NA	21/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8113	2016_mur_51_1	MUR	2016	CYACAE	mur	mur_51_NB	7716076	6990996	first	first	31/03/2016	NA	9	NA	21/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8114	2016_fel_14_1	MUR	2016	CYACAE	fel	fel_14_NB	7716101	7207620	first	first	21/03/2016	NA	11	NA	14/04/2016	NA	11	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA
8115	2016_mur_85_1	MUR	2016	CYACAE	mur	mur_85_NB	7716161	6402259	first	first	27/03/2016	NA	8	NA	25/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8116	2016_mur_45_1	MUR	2016	CYACAE	mur	mur_45_NB	7716212	7717509	first	first	04/04/2016	NA	9	NA	22/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8117	2016_ava_3_1	MUR	2016	CYACAE	ava	ava_3_NB	7716213	7716214	first	first	08/04/2016	NA	9	NA	28/04/2016	NA	9	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA
8118	2016_mur_74_1	MUR	2016	CYACAE	mur	mur_74_NB	7716267	7716268	first	first	09/04/2016	NA	7	NA	28/04/2016	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
8119	2016_ava_13_1	MUR	2016	CYACAE	ava	ava_13_NB	7716397	6989289	first	first	06/04/2016	NA	8	NA	26/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8120	2016_ari_16_1	MUR	2016	CYACAE	ari	ari_16_NB	7716398	6989106	first	first	10/04/2016	NA	7	NA	28/04/2016	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8121	2016_tua_213_1	PIR	2016	CYACAE	tua	tua_213_NB	7716772	7530323	first	first	25/04/2016	NA	6	NA	13/05/2016	NA	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8122	2016_rou_31_1	ROU	2016	CYACAE	rou	rou_31_NB	7717243	7531497	first	first	02/04/2016	NA	11	NA	28/04/2016	NA	11	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8123	2016_rou_35_2	ROU	2016	CYACAE	rou	rou_35_NB	7717243	NA	second	second	01/06/2016	NA	7	NA	19/06/2016	NA	7	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8124	2016_rou_310_1	ROU	2016	CYACAE	rou	rou_310_NB	7717327	7209103	first	first	29/03/2016	NA	13	NA	25/04/2016	NA	11	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA
8125	2016_rou_318_1	ROU	2016	CYACAE	rou	rou_318_NB	7717328	6592874	first	first	03/04/2016	NA	7	NA	26/04/2016	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8126	2016_rou_375_1	ROU	2016	CYACAE	rou	rou_375_NB	7717329	6402416	first	first	02/04/2016	NA	9	NA	26/04/2016	NA	9	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
8127	2016_rou_337_1	ROU	2016	CYACAE	rou	rou_337_NB	7717330	7531824	first	first	06/04/2016	NA	8	NA	27/04/2016	NA	7	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8128	2016_rou_363_1	ROU	2016	CYACAE	rou	rou_363_NB	7717331	1	first	first	03/04/2016	NA	11	NA	27/04/2016	NA	11	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8129	2016_rou_320_1	ROU	2016	CYACAE	rou	rou_320_NB	7717332	7209744	first	first	03/04/2016	NA	11	NA	27/04/2016	NA	11	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
